Alpha: 0.0002, training set size: 1000, test set size: 10000, weights : <-0.01, 0.01><-0.1, 0.1>, hidden units: 100
Iter: 0, Test accuracy: 13.39%
Iter: 10, Test accuracy: 15.4%
Iter: 20, Test accuracy: 17.71%
Iter: 30, Test accuracy: 20.01%
Iter: 40, Test accuracy: 22.18%
Iter: 50, Test accuracy: 24.73%
Iter: 60, Test accuracy: 27.24%
Iter: 70, Test accuracy: 29.67%
Iter: 80, Test accuracy: 32.21%
Iter: 90, Test accuracy: 35.11%
Iter: 100, Test accuracy: 37.72%
Iter: 110, Test accuracy: 40.18%
Iter: 120, Test accuracy: 42.43%
Iter: 130, Test accuracy: 44.43%
Iter: 140, Test accuracy: 46.5%
Iter: 150, Test accuracy: 48.43%
Iter: 160, Test accuracy: 50.17%
Iter: 170, Test accuracy: 51.79%
Iter: 180, Test accuracy: 53.07%
Iter: 190, Test accuracy: 54.51%
Iter: 200, Test accuracy: 55.41%
Iter: 210, Test accuracy: 56.24%
Iter: 220, Test accuracy: 57.09%
Iter: 230, Test accuracy: 57.91%
Iter: 240, Test accuracy: 58.7%
Iter: 250, Test accuracy: 59.29%
Iter: 260, Test accuracy: 59.95%
Iter: 270, Test accuracy: 60.48%
Iter: 280, Test accuracy: 61.03%
Iter: 290, Test accuracy: 61.59%
Iter: 300, Test accuracy: 61.98%
Iter: 310, Test accuracy: 62.55%
Iter: 320, Test accuracy: 63.01%
Iter: 330, Test accuracy: 63.28%
Iter: 340, Test accuracy: 63.56%
