Alpha: 0.0005, training set size: 1000, test set size: 10000, weights : <-0.01, 0.01><-0.1, 0.1>, hidden units: 300
Iter: 0, Test accuracy: 6.05%
Iter: 10, Test accuracy: 15.52%
Iter: 20, Test accuracy: 26.46%
Iter: 30, Test accuracy: 37.9%
Iter: 40, Test accuracy: 45.3%
Iter: 50, Test accuracy: 49.23%
Iter: 60, Test accuracy: 51.76%
Iter: 70, Test accuracy: 52.94%
Iter: 80, Test accuracy: 54.0%
Iter: 90, Test accuracy: 54.47%
Iter: 100, Test accuracy: 54.65%
Iter: 110, Test accuracy: 54.9%
Iter: 120, Test accuracy: 54.97%
Iter: 130, Test accuracy: 54.97%
Iter: 140, Test accuracy: 54.84%
Iter: 150, Test accuracy: 54.73%
Iter: 160, Test accuracy: 54.68%
Iter: 170, Test accuracy: 54.57%
Iter: 180, Test accuracy: 54.36%
Iter: 190, Test accuracy: 54.09%
Iter: 200, Test accuracy: 53.87%
Iter: 210, Test accuracy: 53.7%
Iter: 220, Test accuracy: 53.25%
Iter: 230, Test accuracy: 52.95%
Iter: 240, Test accuracy: 52.69%
Iter: 250, Test accuracy: 52.47%
Iter: 260, Test accuracy: 52.18%
Iter: 270, Test accuracy: 52.0%
Iter: 280, Test accuracy: 51.71%
Iter: 290, Test accuracy: 51.27%
Iter: 300, Test accuracy: 50.97%
Iter: 310, Test accuracy: 50.75%
Iter: 320, Test accuracy: 50.3%
Iter: 330, Test accuracy: 49.86%
Iter: 340, Test accuracy: 49.55%
